,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
112,27.208403754234315,5.604371488024961,2.8790560245513914,0.8765768910550636,1000,0.01,"{'C': 1000, 'gamma': 0.01}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
113,24.618190336227418,4.498196302896036,2.4923972129821776,0.4632856036749809,1000,0.03,"{'C': 1000, 'gamma': 0.03}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
115,21.745897340774537,5.3387293547602255,2.250996398925781,0.6625313562669006,1000,0.3,"{'C': 1000, 'gamma': 0.3}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
116,22.037525606155395,4.961511384080638,2.0408565998077393,0.7198331508410518,1000,1,"{'C': 1000, 'gamma': 1}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
117,22.47084209918976,5.059359015081844,2.298282790184021,0.8267046745570243,1000,3,"{'C': 1000, 'gamma': 3}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
118,21.98552269935608,3.1851168343670544,1.7934093236923219,0.5654313874312354,1000,10,"{'C': 1000, 'gamma': 10}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
119,22.271441102027893,4.511124080607112,1.914163088798523,0.5767352784252487,1000,100,"{'C': 1000, 'gamma': 100}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
91,27.209611654281616,3.538229889306749,3.291146159172058,0.6663422369754283,10,0.03,"{'C': 10, 'gamma': 0.03}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
92,25.168954396247862,6.671884058294157,3.521562933921814,0.8005532058852091,10,0.1,"{'C': 10, 'gamma': 0.1}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
120,18.201871585845947,4.554929905300333,1.815028190612793,0.5778037465497576,1000,1000,"{'C': 1000, 'gamma': 1000}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
90,23.071996140480042,5.768955785533036,2.750065016746521,0.8291890532862753,10,0.01,"{'C': 10, 'gamma': 0.01}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
71,23.18035101890564,8.200134428735801,3.0383895874023437,1.2421080581140858,1,0.3,"{'C': 1, 'gamma': 0.3}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
73,25.507548236846922,7.077070868095356,3.2697027683258058,0.9359807939976873,1,3,"{'C': 1, 'gamma': 3}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
70,23.05381586551666,7.562393139982417,3.2041680812835693,1.1941308093169278,1,0.1,"{'C': 1, 'gamma': 0.1}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
74,27.410161018371582,4.744029826521101,3.5152503728866575,1.0832779383780562,1,10,"{'C': 1, 'gamma': 10}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
75,23.593101978302002,7.648937205475749,3.1534905672073363,0.7059726506574167,1,100,"{'C': 1, 'gamma': 100}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
76,23.148297834396363,7.395657933862365,3.1785049200057984,1.0028353013115996,1,1000,"{'C': 1, 'gamma': 1000}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
69,26.71038806438446,6.682628618170417,3.3397714138031005,0.7398965566086984,1,0.03,"{'C': 1, 'gamma': 0.03}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
79,22.31547541618347,7.644071098433925,2.7480451107025146,1.2840947458587186,3,0.01,"{'C': 3, 'gamma': 0.01}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
80,27.158651423454284,5.18280088369384,3.450672173500061,0.5675673338407944,3,0.03,"{'C': 3, 'gamma': 0.03}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
81,24.737421703338622,6.638422287831629,2.9073423385620116,1.0381747768284908,3,0.1,"{'C': 3, 'gamma': 0.1}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
82,22.370115089416505,7.840112509504602,3.1327536582946776,1.0043256384464592,3,0.3,"{'C': 3, 'gamma': 0.3}",0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.9945575712699,0.010885172279836776,67
