,CVE,num_of_author,baseSeverity,baseScore,flag_CR,flag_H
428,CVE-2023-1595,14,HIGH,7.2,0,1
429,CVE-2023-1244,14,MEDIUM,5.4,0,0
430,CVE-2023-26780,14,CRITICAL,9.8,1,1
431,CVE-2023-1177,14,CRITICAL,9.8,1,1
432,CVE-2023-26600,14,MEDIUM,6.5,0,0
433,CVE-2022-32954,14,HIGH,7.0,0,1
434,CVE-2017-11882,14,HIGH,7.8,0,1
435,CVE-2022-32473,14,HIGH,7.0,0,1
436,CVE-2023-1241,14,MEDIUM,5.4,0,0
437,CVE-2022-32478,14,HIGH,7.0,0,1
438,CVE-2023-1543,14,HIGH,8.8,0,1
439,CVE-2017-20178,14,HIGH,7.5,0,1
440,CVE-2017-20177,14,MEDIUM,6.1,0,0
441,CVE-2023-1155,14,MEDIUM,5.4,0,0
442,CVE-2023-1563,14,CRITICAL,9.8,1,1
443,CVE-2023-1294,14,CRITICAL,9.8,1,1
444,CVE-2021-32419,14,MEDIUM,5.3,0,0
445,CVE-2023-1292,14,CRITICAL,9.8,1,1
446,CVE-2008-10003,14,CRITICAL,9.8,1,1
447,CVE-2023-1290,14,CRITICAL,9.8,1,1
448,CVE-2020-36669,14,HIGH,8.8,0,1
449,CVE-2020-36668,14,MEDIUM,4.3,0,0
450,CVE-2020-4927,14,HIGH,8.2,0,1
451,CVE-2020-4556,14,LOW,3.3,0,0
452,CVE-2023-28607,14,MEDIUM,6.1,0,0
453,CVE-2020-36670,14,MEDIUM,6.3,0,0
454,CVE-2022-47949,14,CRITICAL,9.8,1,1
455,CVE-2020-36667,14,MEDIUM,5.4,0,0
456,CVE-2022-33244,14,HIGH,7.5,0,1
457,CVE-2023-0056,14,MEDIUM,6.5,0,0
458,CVE-2023-23007,14,HIGH,7.2,0,1
459,CVE-2023-24080,14,CRITICAL,9.8,1,1
460,CVE-2023-1462,14,HIGH,8.8,0,1
461,CVE-2023-1033,14,HIGH,8.8,0,1
462,CVE-2023-0760,14,HIGH,7.8,0,1
463,CVE-2023-0759,14,HIGH,8.8,0,1
464,CVE-2023-1589,14,CRITICAL,9.8,1,1
465,CVE-2023-1559,14,HIGH,7.2,0,1
466,CVE-2022-45551,14,CRITICAL,9.8,1,1
467,CVE-2023-0935,14,CRITICAL,9.8,1,1
468,CVE-2023-27587,14,MEDIUM,6.5,0,0
469,CVE-2023-27635,14,HIGH,7.8,0,1
470,CVE-2022-45553,14,CRITICAL,9.8,1,1
471,CVE-2023-0939,14,CRITICAL,9.8,1,1
472,CVE-2015-10073,14,CRITICAL,9.6,1,1
473,CVE-2022-45636,14,HIGH,8.1,0,1
474,CVE-2022-25733,14,HIGH,7.5,0,1
475,CVE-2023-1235,14,MEDIUM,6.3,0,0
476,CVE-2022-21953,14,HIGH,8.8,0,1
477,CVE-2015-10094,14,MEDIUM,6.1,0,0
478,CVE-2021-46023,14,HIGH,7.5,0,1
479,CVE-2023-0988,14,HIGH,8.8,0,1
480,CVE-2023-0877,14,HIGH,8.8,0,1
481,CVE-2023-0932,14,HIGH,8.8,0,1
482,CVE-2023-0986,14,CRITICAL,9.8,1,1
483,CVE-2023-1495,14,HIGH,8.8,0,1
484,CVE-2023-1501,14,HIGH,8.8,0,1
485,CVE-2023-1498,14,CRITICAL,9.8,1,1
486,CVE-2022-22512,14,CRITICAL,9.8,1,1
487,CVE-2023-0879,14,MEDIUM,5.4,0,0
488,CVE-2021-4333,14,MEDIUM,6.5,0,0
489,CVE-2022-45153,14,HIGH,7.8,0,1
